filename,bucket_genus,bucket_relative_path,plantnet_genus,plantnet_family,plantnet_genus_score,identified_at,notes
PXL_20260328_034452121.jpg,Anigozanthos,Anigozanthos/PXL_20260328_034452121.jpg,Anigozanthos,Haemodoraceae,0.839950,2026-05-05T04:38:11+00:00,
PXL_20260329_210925245.jpg,Rosa,Rosa/PXL_20260329_210925245.jpg,Rosa,Rosaceae,0.837920,2026-05-05T04:38:18+00:00,
PXL_20260329_211538245.jpg,Agapanthus,Agapanthus/PXL_20260329_211538245.jpg,Agapanthus,Amaryllidaceae,0.890960,2026-05-05T04:38:49+00:00,
PXL_20260329_235926132.jpg,Hemerocallis,Hemerocallis/PXL_20260329_235926132.jpg,Hemerocallis,Asphodelaceae,0.954040,2026-05-05T04:39:35+00:00,
PXL_20260330_020803581.jpg,Pelargonium,Pelargonium/PXL_20260330_020803581.jpg,Pelargonium,Geraniaceae,0.950310,2026-05-05T04:40:43+00:00,
PXL_20260330_020837444.jpg,Pelargonium,Pelargonium/PXL_20260330_020837444.jpg,Pelargonium,Geraniaceae,0.923520,2026-05-05T04:40:49+00:00,
PXL_20260330_021251581.jpg,Tropaeolum,Tropaeolum/PXL_20260330_021251581.jpg,Tropaeolum,Tropaeolaceae,0.983470,2026-05-05T04:42:11+00:00,
PXL_20260330_021257070.jpg,Gerbera,Gerbera/PXL_20260330_021257070.jpg,Gerbera,Asteraceae,0.839430,2026-05-05T04:42:19+00:00,
PXL_20260330_021300496.jpg,Gerbera,Gerbera/PXL_20260330_021300496.jpg,Gerbera,Asteraceae,0.836400,2026-05-05T04:42:29+00:00,
PXL_20260330_021316927.jpg,Kalanchoe,Kalanchoe/PXL_20260330_021316927.jpg,Kalanchoe,Crassulaceae,0.811640,2026-05-05T04:42:36+00:00,
PXL_20260330_021415179.jpg,Pelargonium,Pelargonium/PXL_20260330_021415179.jpg,Pelargonium,Geraniaceae,0.980270,2026-05-05T04:42:52+00:00,
PXL_20260331_003322524.jpg,Lantana,Lantana/PXL_20260331_003322524.jpg,Lantana,Verbenaceae,0.921060,2026-05-05T04:43:11+00:00,
PXL_20260331_011926046.jpg,Lavandula,Lavandula/PXL_20260331_011926046.jpg,Lavandula,Lamiaceae,0.975110,2026-05-05T04:43:23+00:00,
